OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Saturday,2021,23,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.28128489763773,43.775443340618324,1,0,0,0,0
January,Saturday,2021,1,D23,,NO,YES,NO,001,West Humber-Clairville (1),-79.59348626590521,43.73379817755782,1,0,0,0,0
January,Saturday,2021,3,D52,,NO,NO,YES,078,Kensington-Chinatown (78),-79.38860554004263,43.65040688951051,1,0,0,0,0
January,Saturday,2021,2,D52,,NO,YES,NO,078,Kensington-Chinatown (78),-79.39629493804267,43.65672499707339,1,0,0,0,0
January,Saturday,2021,18,D43,,YES,NO,NO,156,Bendale-Glen Andrew (156),-79.26309841359412,43.77533695503795,1,0,1,0,0
January,Saturday,2021,17,D33,,NO,NO,YES,047,Don Valley Village (47),-79.35301563768607,43.787344628236035,1,0,0,0,0
January,Saturday,2021,16,D11,,NO,NO,YES,090,Junction Area (90),-79.46453462570446,43.66541435441993,1,0,0,0,0
January,Saturday,2021,16,D14,,NO,NO,YES,079,University (79),-79.40277413488532,43.657436699118286,1,0,0,0,0
January,Saturday,2021,7,D22,,NO,NO,YES,016,Stonegate-Queensway (16),-79.50065631987997,43.622841004938564,1,0,0,0,0
January,Saturday,2021,7,D55,,NO,NO,YES,068,North Riverdale (68),-79.3575620795158,43.67479103411753,1,0,0,0,0
January,Saturday,2021,15,D32,,NO,NO,YES,038,Lansing-Westgate (38),-79.43400061001351,43.73737106234383,1,0,0,0,0
January,Saturday,2021,8,D33,,NO,NO,YES,040,St.Andrew-Windfields (40),-79.38414410092159,43.74805518818658,1,0,0,0,0
January,Saturday,2021,8,D22,,NO,NO,YES,016,Stonegate-Queensway (16),-79.51601273074598,43.61935103021635,1,0,0,0,0
January,Saturday,2021,16,D42,,NO,NO,YES,144,Morningside Heights (144),-79.17443581665869,43.8178814056313,1,0,0,0,0
January,Saturday,2021,16,D12,,NO,NO,YES,028,Rustic (28),-79.50717214299526,43.71543154643954,1,0,0,0,0
January,Saturday,2021,11,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.2760280098597,43.785936356716924,1,0,0,0,0
January,Saturday,2021,11,D41,,YES,NO,NO,119,Wexford/Maryvale (119),-79.3046332814543,43.74323813620406,1,0,0,0,0
January,Saturday,2021,6,D23,,NO,NO,YES,002,Mount Olive-Silverstone-Jamestown (2),-79.58922306495246,43.741089572019206,1,0,0,0,0
January,Saturday,2021,7,D43,,NO,YES,NO,138,Eglinton East (138),-79.245533449063,43.739918279161884,1,0,0,0,0
January,Saturday,2021,12,D14,,NO,NO,YES,078,Kensington-Chinatown (78),-79.40090643343352,43.651213590979346,1,0,0,0,0
January,Saturday,2021,13,D43,,NO,YES,YES,140,Guildwood (140),-79.20309159153398,43.746043093002775,1,0,0,0,0
January,Saturday,2021,7,D32,,NO,NO,YES,039,Bedford Park-Nortown (39),-79.4331780006533,43.73391946083162,1,0,0,0,0
January,Saturday,2021,10,D41,,NO,NO,YES,125,Ionview (125),-79.27205411850706,43.742174966882935,1,0,0,0,0
January,Saturday,2021,7,D22,,NO,NO,YES,161,Humber Bay Shores (161),-79.48325661690977,43.620507777380844,1,0,0,0,0
January,Saturday,2021,9,D52,,NO,NO,YES,165,Harbourfront-CityPlace (165),-79.39213313595421,43.6385443776481,1,0,0,0,0
January,Saturday,2021,17,D41,,NO,NO,YES,120,Clairlea-Birchmount (120),-79.27427477976632,43.70328741476512,1,0,0,0,0
January,Saturday,2021,10,D23,,NO,NO,YES,002,Mount Olive-Silverstone-Jamestown (2),-79.59534436376495,43.7442990681761,1,0,0,0,0
January,Saturday,2021,8,D12,,NO,NO,YES,112,Beechborough-Greenbrook (112),-79.47541478729813,43.69086518507382,1,0,0,0,0
January,Saturday,2021,11,D32,,NO,NO,YES,031,Yorkdale-Glen Park (31),-79.45561380592014,43.718279055503984,1,0,0,0,0
January,Saturday,2021,10,D33,,YES,NO,NO,044,Flemingdon Park (44),-79.3325817281569,43.720780848086626,1,0,0,0,0
January,Saturday,2021,7,D41,,NO,NO,YES,120,Clairlea-Birchmount (120),-79.2955297700329,43.720694068088974,1,0,0,0,0
January,Saturday,2021,10,D43,,NO,YES,NO,142,Woburn North (142),-79.23493836273295,43.77576920367464,1,0,0,0,0
January,Saturday,2021,12,D11,,NO,NO,YES,083,Dufferin Grove (83),-79.4370618209781,43.65521640563446,1,0,0,0,0
January,Saturday,2021,14,D42,,NO,NO,YES,118,Tam O'Shanter-Sullivan (118),-79.31776397051537,43.776517224531496,1,0,0,0,0
January,Saturday,2021,15,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.26835251822989,43.78761246300329,1,0,0,0,0
January,Saturday,2021,16,D23,,NO,YES,NO,002,Mount Olive-Silverstone-Jamestown (2),-79.58210637015169,43.74325917379369,1,0,0,0,0
January,Saturday,2021,1,D14,,NO,NO,YES,079,University (79),-79.41068193359884,43.663834007814685,1,0,0,0,0
January,Sunday,2021,9,D22,,NO,NO,YES,016,Stonegate-Queensway (16),-79.51312991250215,43.630208384143536,1,0,0,0,0
